"month","year","thick"
7,1,312
8,1,300
9,1,281
10,1,267
11,1,295
12,1,325
1,2,360
2,2,365
3,2,372
4,2,375
5,2,382
6,2,350
7,2,336
8,2,314
9,2,305
10,2,280
11,2,285
12,2,316
1,3,324
2,3,325
3,3,347
4,3,359
5,3,373
6,3,331
7,3,308
8,3,295
9,3,288
10,3,268
11,3,279
12,3,313
1,4,349
2,4,401
3,4,355
4,4,418
5,4,368
6,4,345
7,5,291
8,5,299
8,6,311
9,6,335
10,6,283
11,6,286
12,6,301
1,7,318
2,7,347
3,7,370
4,7,394
5,7,360
6,7,347
7,7,334
8,7,299
9,7,292
10,7,287
11,7,293
12,7,281
1,8,357
2,8,364
3,8,399
4,8,382
5,8,390
6,8,374
7,8,335
8,8,319
9,8,309
10,8,312
11,8,311
12,8,337
1,9,334
2,9,321
3,9,392
4,9,358
5,9,365
6,9,355
7,9,328
8,9,321
9,9,282
10,9,287
11,9,291
12,9,297
1,10,332
2,10,390
3,10,367
4,10,383
5,10,375
6,10,319
7,10,331
8,10,311
9,10,288
10,10,275
11,10,299
12,10,313
1,11,329
2,11,393
3,11,398
4,11,384
5,11,373
6,11,352
7,11,328
8,11,315
9,11,303
10,11,310
11,11,298
12,11,307
1,12,347
2,12,352
3,12,395
4,12,382
5,12,365
6,12,349
7,12,324
8,12,323
9,12,301
10,12,283
11,12,280
12,12,355
1,13,337
2,13,370
3,13,325
4,13,392
5,13,384
6,13,336
7,13,325
8,13,325
9,13,296
10,13,280
11,13,285
12,13,299
1,14,320
2,14,341
3,14,385
4,14,347
5,14,382
6,14,339
7,14,331
8,14,313
9,14,286
10,14,304
11,14,284
12,14,309
1,15,387
2,15,400
3,15,418
4,15,430
5,15,403
6,15,388
7,15,346
8,15,323
9,15,310
10,15,292
11,15,302
12,15,338
1,16,362
2,16,395
3,16,417
4,16,409
5,16,417
6,16,361
7,16,348
8,16,336
9,16,306
10,16,299
11,16,309
12,16,309
1,17,400
2,17,422
3,17,373
4,17,408
5,17,376
6,17,347
7,17,325
8,17,309
9,17,284
10,17,272
11,17,298
12,17,313
1,18,338
2,18,341
3,18,385
4,18,363
5,18,348
6,18,352
7,18,336
8,18,303
9,18,291
10,18,292
11,18,303
12,18,321
1,19,300
2,19,365
3,19,385
4,19,360
5,19,349
6,19,351
7,19,319
8,19,306
9,19,290
10,19,293
11,19,298
12,19,320
1,20,377
2,20,359
3,20,360
4,20,373
5,20,376
6,20,351
7,20,329
8,20,327
9,20,297
10,20,288
11,20,295
12,20,313
1,21,336
2,21,352
3,21,380
4,21,361
5,21,355
6,21,344
7,21,318
8,21,307
9,21,276
10,21,291
11,21,297
12,21,316
1,22,383
2,22,397
3,22,393
4,22,369
5,22,361
6,22,347
7,22,334
8,22,324
9,22,307
10,22,296
11,22,278
12,22,312
1,23,341
2,23,371
3,23,348
4,23,374
5,23,353
6,23,345
7,23,345
8,23,311
9,23,299
10,23,281
11,23,286
12,23,321
1,24,332
2,24,365
3,24,378
4,24,357
5,24,371
6,24,354
7,24,335
8,24,321
9,24,284
10,24,272
11,24,296
12,24,292
1,25,352
2,25,365
3,25,365
4,25,382
5,25,374
6,25,354
7,25,322
8,25,316
9,25,292
10,25,288
11,25,287
12,25,340
1,26,338
2,26,402
3,26,417
4,26,397
5,26,383
6,26,364
7,26,332
8,26,321
9,26,297
10,26,298
11,26,278
12,26,311
1,27,378
2,27,384
3,27,411
4,27,386
5,27,385
6,27,359
7,27,341
8,27,320
9,27,317
10,27,297
11,27,302
12,27,332
1,28,335
2,28,375
3,28,373
4,28,383
5,28,382
6,28,359
7,28,326
8,28,317
9,28,293
10,28,280
11,28,266
3,29,373
4,29,415
5,29,389
6,29,362
7,29,348
8,29,329
9,29,305
10,29,285
11,29,291
12,29,284
1,30,315
2,30,375
3,30,399
4,30,374
5,30,361
6,30,351
7,30,339
8,30,332
9,30,300
10,30,292
11,30,278
12,30,317
1,31,341
2,31,402
3,31,381
4,31,395
5,31,365
6,31,360
7,31,327
8,31,308
9,31,287
10,31,284
11,31,286
12,31,312
1,32,340
2,32,342
3,32,353
4,32,375
5,32,380
6,32,349
7,32,330
8,32,321
9,32,305
10,32,279
11,32,294
12,32,322
1,33,361
2,33,351
3,33,411
4,33,417
5,33,369
6,33,369
7,33,349
8,33,330
9,33,306
10,33,312
11,33,305
12,33,326
1,34,369
2,34,367
3,34,364
4,34,390
5,34,389
6,34,373
7,34,342
8,34,330
9,34,313
10,34,294
11,34,297
12,34,328
1,35,349
2,35,397
3,35,405
4,35,400
5,35,382
6,35,353
7,35,339
8,35,315
9,35,306
10,35,299
11,35,284
12,35,332
1,36,368
2,36,333
3,36,338
4,36,365
5,36,379
6,36,349
7,36,343
8,36,322
9,36,296
10,36,288
11,36,301
12,36,304
1,37,352
2,37,362
3,37,428
4,37,400
5,37,363
6,37,349
7,37,338
8,37,302
9,37,296
10,37,271
11,37,298
12,37,309
1,38,371
2,38,408
3,38,377
4,38,381
5,38,378
6,38,352
7,38,327
8,38,310
9,38,282
10,38,273
11,38,278
12,38,293
1,39,301
2,39,335
3,39,347
4,39,378
5,39,363
6,39,330
7,39,326
8,39,323
9,39,299
10,39,288
11,39,274
12,39,310
1,40,332
2,40,390
3,40,383
4,40,385
5,40,387
6,40,345
7,40,337
8,40,318
9,40,305
10,40,275
11,40,278
12,40,305
1,41,354
2,41,338
3,41,401
4,41,380
5,41,372
8,41,326
9,41,307
10,41,282
11,41,321
12,41,319
1,42,361
2,42,362
3,42,354
4,42,374
5,42,349
6,42,358
7,42,325
8,42,317
9,42,296
10,42,273
11,42,267
12,42,304
1,43,342
2,43,383
3,43,376
4,43,379
5,43,349
6,43,351
7,43,337
8,43,335
9,43,308
10,43,275
11,43,270
12,43,331
1,44,327
2,44,419
3,44,361
4,44,393
5,44,351
6,44,364
7,44,333
8,44,333
9,44,294
10,44,281
11,44,307
12,44,345
1,45,331
2,45,417
3,45,414
4,45,419
5,45,389
6,45,360
7,45,331
8,45,323
9,45,291
10,45,278
11,45,271
12,45,309
1,46,344
2,46,349
3,46,411
4,46,364
5,46,358
6,46,358
7,46,336
8,46,309
9,46,317
10,46,278
11,46,292
12,46,306
